"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","Ń","c583","LATIN CAPITAL LETTER N WITH ACUTE (U+0143)","N","N"
"U+00100+","ń","c584","LATIN SMALL LETTER N WITH ACUTE (U+0144)","n","n"
"U+00100+","Ņ","c585","LATIN CAPITAL LETTER N WITH CEDILLA (U+0145)","N","N"
"U+00100+","ņ","c586","LATIN SMALL LETTER N WITH CEDILLA (U+0146)","n","n"
"U+00100+","Ň","c587","LATIN CAPITAL LETTER N WITH CARON (U+0147)","N","N"
"U+00100+","ň","c588","LATIN SMALL LETTER N WITH CARON (U+0148)","n","n"
"U+00100+","ŉ","c589","LATIN SMALL LETTER N PRECEDED BY APOSTROPHE (U+0149)","n","n"
"U+00100+","Ŋ","c58a","LATIN CAPITAL LETTER ENG (U+014A)","N","N"
"U+00100+","ŋ","c58b","LATIN SMALL LETTER ENG (U+014B)","n","n"
"U+00100+","Ō","c58c","LATIN CAPITAL LETTER O WITH MACRON (U+014C)","O","O"
"U+00100+","ō","c58d","LATIN SMALL LETTER O WITH MACRON (U+014D)","o","o"
"U+00100+","Ŏ","c58e","LATIN CAPITAL LETTER O WITH BREVE (U+014E)","O","O"
"U+00100+","ŏ","c58f","LATIN SMALL LETTER O WITH BREVE (U+014F)","o","o"
"U+00100+","Ő","c590","LATIN CAPITAL LETTER O WITH DOUBLE ACUTE (U+0150)","O","O"
"U+00100+","ő","c591","LATIN SMALL LETTER O WITH DOUBLE ACUTE (U+0151)","o","o"
"U+00100+","Œ","c592","LATIN CAPITAL LIGATURE OE (U+0152)","O","OE"
"U+00100+","œ","c593","LATIN SMALL LIGATURE OE (U+0153)","o","oe"
"U+00100+","Ŕ","c594","LATIN CAPITAL LETTER R WITH ACUTE (U+0154)","R","R"
"U+00100+","ŕ","c595","LATIN SMALL LETTER R WITH ACUTE (U+0155)","r","r"
"U+00100+","Ŗ","c596","LATIN CAPITAL LETTER R WITH CEDILLA (U+0156)","R","R"
"U+00100+","ŗ","c597","LATIN SMALL LETTER R WITH CEDILLA (U+0157)","r","r"
"U+00100+","Ř","c598","LATIN CAPITAL LETTER R WITH CARON (U+0158)","R","R"
"U+00100+","ř","c599","LATIN SMALL LETTER R WITH CARON (U+0159)","r","r"
"U+00100+","Ś","c59a","LATIN CAPITAL LETTER S WITH ACUTE (U+015A)","S","S"
"U+00100+","ś","c59b","LATIN SMALL LETTER S WITH ACUTE (U+015B)","s","s"
"U+00100+","Ŝ","c59c","LATIN CAPITAL LETTER S WITH CIRCUMFLEX (U+015C)","S","S"
"U+00100+","ŝ","c59d","LATIN SMALL LETTER S WITH CIRCUMFLEX (U+015D)","s","s"
"U+00100+","Ş","c59e","LATIN CAPITAL LETTER S WITH CEDILLA (U+015E)","S","S"
"U+00100+","ş","c59f","LATIN SMALL LETTER S WITH CEDILLA (U+015F)","s","s"
"U+00100+","Š","c5a0","LATIN CAPITAL LETTER S WITH CARON (U+0160)","S","S"
"U+00100+","š","c5a1","LATIN SMALL LETTER S WITH CARON (U+0161)","s","s"
"U+00100+","Ţ","c5a2","LATIN CAPITAL LETTER T WITH CEDILLA (U+0162)","T","T"
"U+00100+","ţ","c5a3","LATIN SMALL LETTER T WITH CEDILLA (U+0163)","t","t"
"U+00100+","Ť","c5a4","LATIN CAPITAL LETTER T WITH CARON (U+0164)","T","T"
"U+00100+","ť","c5a5","LATIN SMALL LETTER T WITH CARON (U+0165)","t","t"
"U+00100+","Ŧ","c5a6","LATIN CAPITAL LETTER T WITH STROKE (U+0166)","T","T"
"U+00100+","ŧ","c5a7","LATIN SMALL LETTER T WITH STROKE (U+0167)","t","t"
"U+00100+","Ũ","c5a8","LATIN CAPITAL LETTER U WITH TILDE (U+0168)","U","U"
"U+00100+","ũ","c5a9","LATIN SMALL LETTER U WITH TILDE (U+0169)","u","u"
"U+00100+","Ū","c5aa","LATIN CAPITAL LETTER U WITH MACRON (U+016A)","U","U"
"U+00100+","ū","c5ab","LATIN SMALL LETTER U WITH MACRON (U+016B)","u","u"
"U+00100+","Ŭ","c5ac","LATIN CAPITAL LETTER U WITH BREVE (U+016C)","U","U"
"U+00100+","ŭ","c5ad","LATIN SMALL LETTER U WITH BREVE (U+016D)","u","u"
"U+00100+","Ů","c5ae","LATIN CAPITAL LETTER U WITH RING ABOVE (U+016E)","U","U"
"U+00100+","ů","c5af","LATIN SMALL LETTER U WITH RING ABOVE (U+016F)","u","u"
"U+00100+","Ű","c5b0","LATIN CAPITAL LETTER U WITH DOUBLE ACUTE (U+0170)","U","U"
"U+00100+","ű","c5b1","LATIN SMALL LETTER U WITH DOUBLE ACUTE (U+0171)","u","u"
"U+00100+","Ų","c5b2","LATIN CAPITAL LETTER U WITH OGONEK (U+0172)","U","U"
"U+00100+","ų","c5b3","LATIN SMALL LETTER U WITH OGONEK (U+0173)","u","u"
"U+00100+","Ŵ","c5b4","LATIN CAPITAL LETTER W WITH CIRCUMFLEX (U+0174)","W","W"
"U+00100+","ŵ","c5b5","LATIN SMALL LETTER W WITH CIRCUMFLEX (U+0175)","w","w"
"U+00100+","Ŷ","c5b6","LATIN CAPITAL LETTER Y WITH CIRCUMFLEX (U+0176)","Y","Y"
"U+00100+","ŷ","c5b7","LATIN SMALL LETTER Y WITH CIRCUMFLEX (U+0177)","y","y"
"U+00100+","Ÿ","c5b8","LATIN CAPITAL LETTER Y WITH DIAERESIS (U+0178)","Y","Y"
"U+00100+","Ź","c5b9","LATIN CAPITAL LETTER Z WITH ACUTE (U+0179)","Z","Z"
"U+00100+","ź","c5ba","LATIN SMALL LETTER Z WITH ACUTE (U+017A)","z","z"
"U+00100+","Ż","c5bb","LATIN CAPITAL LETTER Z WITH DOT ABOVE (U+017B)","Z","Z"
"U+00100+","ż","c5bc","LATIN SMALL LETTER Z WITH DOT ABOVE (U+017C)","z","z"
"U+00100+","Ž","c5bd","LATIN CAPITAL LETTER Z WITH CARON (U+017D)","Z","Z"
"U+00100+","ž","c5be","LATIN SMALL LETTER Z WITH CARON (U+017E)","z","z"
"U+00100+","ſ","c5bf","LATIN SMALL LETTER LONG S (U+017F)","s","s"
"U+00100+","ƀ","c680","LATIN SMALL LETTER B WITH STROKE (U+0180)","b","b"
"U+00100+","Ɓ","c681","LATIN CAPITAL LETTER B WITH HOOK (U+0181)","B","B"
"U+00100+","Ƃ","c682","LATIN CAPITAL LETTER B WITH TOPBAR (U+0182)","B","B"
"U+00100+","ƃ","c683","LATIN SMALL LETTER B WITH TOPBAR (U+0183)","b","b"
"U+00100+","Ƅ","c684","LATIN CAPITAL LETTER TONE SIX (U+0184)","B","B"
"U+00100+","ƅ","c685","LATIN SMALL LETTER TONE SIX (U+0185)","b","b"
"U+00100+","Ɔ","c686","LATIN CAPITAL LETTER OPEN O (U+0186)","O","O"
"U+00100+","Ƈ","c687","LATIN CAPITAL LETTER C WITH HOOK (U+0187)","C","C"
"U+00100+","ƈ","c688","LATIN SMALL LETTER C WITH HOOK (U+0188)","c","c"
"U+00100+","Ɖ","c689","LATIN CAPITAL LETTER AFRICAN D (U+0189)","D","D"
"U+00100+","Ɗ","c68a","LATIN CAPITAL LETTER D WITH HOOK (U+018A)","D","D"
"U+00100+","Ƌ","c68b","LATIN CAPITAL LETTER D WITH TOPBAR (U+018B)","D","D"
"U+00100+","ƌ","c68c","LATIN SMALL LETTER D WITH TOPBAR (U+018C)","d","d"
"U+00100+","ƍ","c68d","LATIN SMALL LETTER TURNED DELTA (U+018D)","o","o"
"U+00100+","Ǝ","c68e","LATIN CAPITAL LETTER REVERSED E (U+018E)","E","E"
"U+00100+","Ə","c68f","LATIN CAPITAL LETTER SCHWA (U+018F)","e","e"
"U+00100+","Ɛ","c690","LATIN CAPITAL LETTER OPEN E (U+0190)","E","E"
"U+00100+","Ƒ","c691","LATIN CAPITAL LETTER F WITH HOOK (U+0191)","F","F"
"U+00100+","ƒ","c692","LATIN SMALL LETTER F WITH HOOK (U+0192)","f","f"
"U+00100+","Ɠ","c693","LATIN CAPITAL LETTER G WITH HOOK (U+0193)","G","G"
"U+00100+","Ɣ","c694","LATIN CAPITAL LETTER GAMMA (U+0194)","Y","Y"
"U+00100+","ƕ","c695","LATIN SMALL LETTER HV (U+0195)","h","hv"
"U+00100+","Ɩ","c696","LATIN CAPITAL LETTER IOTA (U+0196)","I","IOTA"
"U+00100+","Ɨ","c697","LATIN CAPITAL LETTER I WITH STROKE (U+0197)","I","I"
"U+00100+","Ƙ","c698","LATIN CAPITAL LETTER K WITH HOOK (U+0198)","K","K"
